ID,Title,Question,,
57422054,Acrobat reader cannot extract the embedded font 'PWLEAX+NotoSerifCJKsc-Regular-Identity-H',"I am using Jasper Report 6.9.0 version with Java 1.8.0_201 and Arial Unicode MS and NotoSerifCJKsc(especially for the traditional Chinese) fonts for the Jasper Report to display the Chinese Characters. Pdf generated properly and I am able to see the complete content when I open it on the chrome, but if I try to open it with Acrobat reader then I am getting the error  ""Cannot extract the embedded font 'PWLEAX+NotoSerifCJKsc-Regular-Identity-H'. Some characters may not display or print correctly.""  ",,
57488877,React Native FAILURE: Build failed with an exception ative_modules.gradle' line: 191,"i got error when i start ""react-native run-android"" do anyone can help me ? FAILURE: Build failed with an exception. Where:
Script 'C:\Users\wayan\Desktop\android\app\node_modules@react-native-community\cli-platform-android\native_modules.gradle' line: 191 What went wrong:
A problem occurred evaluating settings 'app'. Unable to determine the current character, it is not a string, number, array, or object The current character read is 'E' with an int value of 69
Unable to determine the current character, it is not a string, number, array, or object
line number 1
index number 0
Error: EPERM: operation not permitted, scandir 'C:/Users/wayan/Desktop/android/app/android/app/build/intermediates/signing_config/debug/out/signing-config.json'    at Object.readdirSync (fs.js:795:3)    at GlobSync._readdir (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:288:41)    at GlobSync._readdirInGlobStar (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:267:20)    at GlobSync._readdir (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:276:17)    at GlobSync._processReaddir (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:137:22)    at GlobSync._process (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:132:10)    at GlobSync._processGlobStar (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:380:10)    at GlobSync._process (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:130:10)    at GlobSync._processGlobStar (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:383:10)    at GlobSync._process (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:130:10)
^ FAILURE: Build failed with an exception. Where:
Script 'C:\Users\wayan\Desktop\android\app\node_modules@react-native-community\cli-platform-android\native_modules.gradle' line: 191 What went wrong:
A problem occurred evaluating settings 'app'. Unable to determine the current character, it is not a string, number, array, or object The current character read is 'E' with an int value of 69
Unable to determine the current character, it is not a string, number, array, or object
line number 1
index number 0
Error: EPERM: operation not permitted, scandir 'C:/Users/wayan/Desktop/android/app/android/app/build/intermediates/signing_config/debug/out/signing-config.json'    at Object.readdirSync (fs.js:795:3)    at GlobSync._readdir (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:288:41)    at GlobSync._readdirInGlobStar (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:267:20)    at GlobSync._readdir (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:276:17)    at GlobSync._processReaddir (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:137:22)    at GlobSync._process (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:132:10)    at GlobSync._processGlobStar (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:380:10)    at GlobSync._process (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:130:10)    at GlobSync._processGlobStar (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:383:10)    at GlobSync._process (C:\Users\wayan\Desktop\android\app\node_modules\glob\sync.js:130:10)
^ Try:
Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights. ",,
57416424,subtypes of parenttype together in a list,"hey i have a class like vehicle. if i create car : vehicle and bus : vehicle and then want to put busses and and cars in one list, how can i do that? if i do mycar and mybus looses all attributes making them to car/bus.  if later i do  its not working of cause :( 
how can i do that? 
why do i use inheritance then at all? 
isn't it better to have  but then is MyCar.Type = Car but has also the Attribute: List Stops or something even if a car shouldn't have it but only busses....  but if i need to combine them i dont have a option right? ",,
57515498,Is there an archive of Navigator objects for various browsers on various platforms?,"Does there exist an archive somewhere that captures the full Navigator object (and any other useful things) for various browsers on various devices? I'm looking to test browser device fingerprinting, and I'd like to have all the information that makes up the fingerprint handy so I can replicate certain configurations without having to actually have those configurations available to reference.  I know that you can use Developer Tools on Chrome and spoof the user agent.  But that's only one element of the Navigator object.  A bunch of other things are not spoofed, so I'm looking for a more complete resource, if one exists. ",,
57531398,How to delete repeating vector images from all pages of a pdf in one go?,"I have several pdf files with hundreds of pages having unwanted vector images (same kind) in background (just like a watermark), I want to remove them all. I tried using Wondershare PDF element, Nitro PDF, Foxit Phantom PDF and they did provide me with the option of removing these images but it is a hectic task to select and remove them individually from each page. I couldn't find any option which lets me select specific type of vector images from all images and delete all of them in one click. Though Master PDF worked better than the rest of them, it has a 'vector images' editing category which helps selecting all vector images (Ctrl + A) but again I have to repeat this for each page which is cumbersome. Really need help with this. ",,
57660170,Push botocore.response.StreamingBody object to firehose delivery stream,"I have an S3 bucket that has source records and I am doing some manual backfilling, so I am trying to write a python script that sends them to a Firehose Delivery stream. The files are of the type botocore.response.StreamingBody object and are pretty straightforward, simple JSONs. The code I have been working on is as follows: from here I want to call the function put_record_batch() but I'm not sure how to pass the object['Body'] into the function. The boto3 docs were not super helpful ",,
57673369,Response header-value based on request query-value,"I'm using Apache httpd 2.4.39 (from memory). It's one or two releases behind current. The request looks like:  How would I configure Apache httpd so that when it sees a request query-string containing ""token"" as the key, it then adds the following response header: ""X-Token""=""XyS2a"" I.e. the header value is taken from the query string. ",,
57689567,Getting error “duplicate name in plugin : core jackson2” while Converting RAML to POJO,"I have tried to convert given raml file in POJO using RamlToPojo class but I am getting error like duplicate plugin. Please see below code:
public class Main { } ",,
57692162,Use api-keys with WSS4J for SOAP authentication,"Is there any way that we can use api-keys with SOAP and WSS4J ?
 I have a module which connects to a SOAP web service and retrieve data (using WSS4J as well), it uses username / password mechanism now. Recently they have started to use api-keys for that and removed the username / password mechanism. I need to adopt the module to use that. I was checking if we can use the same WSS4J for that as well. ",,
57707279,Request.Browser details in Mac OS,"Request.Browser details are not proper in Mac OS Request.Browser.Platform is always ""Unknown"" in mac chrome browser.
Request.Browser.MajorVersion is always 0 and Request.Browser.Platform is always ""Unknown"" in mac Safari browser.    ",,
